"Geographic name, english","Geographic name, french","CSD type, english","CSD type, french","Province / territory, english","Province / territory, french"
Portugal Cove South,Portugal Cove South,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Trepassey,Trepassey,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
St. Shott's,St. Shott's,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Cape Broyle,Cape Broyle,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Renews-Cappahayden,Renews-Cappahayden,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Fermeuse,Fermeuse,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Port Kirwan,Port Kirwan,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Aquaforte,Aquaforte,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Ferryland,Ferryland,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
St. Vincent's-St. Stephen's-Peter's River,St. Vincent's-St. Stephen's-Peter's River,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Gaskiers-Point La Haye,Gaskiers-Point La Haye,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
St. Mary's,St. Mary's,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Riverhead,Riverhead,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Admirals Beach,Admirals Beach,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
St. Joseph's,St. Joseph's,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Mount Carmel-Mitchells Brook-St. Catherine's,Mount Carmel-Mitchells Brook-St. Catherine's,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Colinet,Colinet,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Branch,Branch,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Point Lance,Point Lance,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
St. Bride's,St. Bride's,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Placentia,Placentia,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Fox Harbour,Fox Harbour,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Long Harbour-Mount Arlington Heights,Long Harbour-Mount Arlington Heights,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Southern Harbour,Southern Harbour,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Arnold's Cove,Arnold's Cove,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Come By Chance,Come By Chance,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Sunnyside,Sunnyside,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Chance Cove,Chance Cove,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Norman's Cove-Long Cove,Norman's Cove-Long Cove,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Chapel Arm,Chapel Arm,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Whitbourne,Whitbourne,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Whiteway,Whiteway,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Heart's Delight-Islington,Heart's Delight-Islington,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Heart's Desire,Heart's Desire,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Heart's Content,Heart's Content,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
New Perlican,New Perlican,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Winterton,Winterton,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Hant's Harbour,Hant's Harbour,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Old Perlican,Old Perlican,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Bay de Verde,Bay de Verde,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Small Point-Adam's Cove-Blackhead-Broad Cove,Small Point-Adam's Cove-Blackhead-Broad Cove,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Salmon Cove,Salmon Cove,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Victoria,Victoria,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Carbonear,Carbonear,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Bryant's Cove,Bryant's Cove,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Harbour Grace,Harbour Grace,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Upper Island Cove,Upper Island Cove,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Bishop's Cove,Bishop's Cove,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Spaniard's Bay,Spaniard's Bay,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Bay Roberts,Bay Roberts,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
North River,North River,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Clarke's Beach,Clarke's Beach,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
South River,South River,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Cupids,Cupids,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Brigus,Brigus,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Colliers,Colliers,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Conception Harbour,Conception Harbour,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Avondale,Avondale,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Harbour Main-Chapel's Cove-Lakeview,Harbour Main-Chapel's Cove-Lakeview,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Holyrood,Holyrood,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Conception Bay South,Conception Bay South,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Wabana,Wabana,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Portugal Cove-St. Philip's,Portugal Cove-St. Philip's,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Pouch Cove,Pouch Cove,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Flatrock,Flatrock,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Torbay,Torbay,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Logy Bay-Middle Cove-Outer Cove,Logy Bay-Middle Cove-Outer Cove,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Bauline,Bauline,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Paradise,Paradise,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
St. John's,St. John's,City,City,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Mount Pearl,Mount Pearl,City,City,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Petty Harbour-Maddox Cove,Petty Harbour-Maddox Cove,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Bay Bulls,Bay Bulls,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Witless Bay,Witless Bay,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Lewin's Cove,Lewin's Cove,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Burin,Burin,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
St. Lawrence,St. Lawrence,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Lawn,Lawn,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Lamaline,Lamaline,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Lord's Cove,Lord's Cove,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Point May,Point May,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Point au Gaul,Point au Gaul,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Frenchman's Cove,Frenchman's Cove,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Fortune,Fortune,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Grand Bank,Grand Bank,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Garnish,Garnish,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Winterland,Winterland,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Marystown,Marystown,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Fox Cove-Mortier,Fox Cove-Mortier,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Bay L'Argent,Bay L'Argent,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Grand le Pierre,Grand le Pierre,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Rushoon,Rushoon,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Parkers Cove,Parkers Cove,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Terrenceville,Terrenceville,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Red Harbour,Red Harbour,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
English Harbour East,English Harbour East,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Baine Harbour,Baine Harbour,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
St. Bernard's-Jacques Fontaine,St. Bernard's-Jacques Fontaine,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Little Bay East,Little Bay East,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Rencontre East,Rencontre East,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
St. Jacques-Coomb's Cove,St. Jacques-Coomb's Cove,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Belleoram,Belleoram,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Pool's Cove,Pool's Cove,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Harbour Breton,Harbour Breton,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Seal Cove (Fortune Bay),Seal Cove (Fortune Bay),Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Hermitage-Sandyville,Hermitage-Sandyville,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Gaultois,Gaultois,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Milltown-Head of Bay d'Espoir,Milltown-Head of Bay d'Espoir,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
St. Alban's,St. Alban's,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Morrisville,Morrisville,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Ramea,Ramea,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Burgeo,Burgeo,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Isle aux Morts,Isle aux Morts,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Burnt Islands,Burnt Islands,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Channel-Port aux Basques,Channel-Port aux Basques,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Rose Blanche-Harbour le Cou,Rose Blanche-Harbour le Cou,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
St. George's,St. George's,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Gallants,Gallants,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Stephenville Crossing,Stephenville Crossing,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Stephenville,Stephenville,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Kippens,Kippens,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Port au Port East,Port au Port East,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Cape St. George,Cape St. George,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Lourdes,Lourdes,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Port au Port West-Aguathuna-Felix Cove,Port au Port West-Aguathuna-Felix Cove,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Deer Lake,Deer Lake,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Jackson's Arm,Jackson's Arm,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Howley,Howley,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Hampden,Hampden,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Reidville,Reidville,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Steady Brook,Steady Brook,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Pasadena,Pasadena,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Cormack,Cormack,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Gillams,Gillams,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Massey Drive,Massey Drive,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Corner Brook,Corner Brook,City,City,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Humber Arm South,Humber Arm South,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
McIvers,McIvers,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Cox's Cove,Cox's Cove,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Lark Harbour,Lark Harbour,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Meadows,Meadows,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Hughes Brook,Hughes Brook,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Irishtown-Summerside,Irishtown-Summerside,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Mount Moriah,Mount Moriah,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
York Harbour,York Harbour,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Norris Arm,Norris Arm,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Gander,Gander,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Appleton,Appleton,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Glenwood,Glenwood,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Northern Arm,Northern Arm,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Grand Falls-Windsor,Grand Falls-Windsor,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Bishop's Falls,Bishop's Falls,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Peterview,Peterview,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Botwood,Botwood,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Badger,Badger,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Millertown,Millertown,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Buchans,Buchans,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Clarenville,Clarenville,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Trinity (Trinity Bay),Trinity (Trinity Bay),Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Port Rexton,Port Rexton,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Elliston,Elliston,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Trinity Bay North,Trinity Bay North,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Bonavista,Bonavista,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Keels,Keels,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Duntara,Duntara,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
King's Cove,King's Cove,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Musgravetown,Musgravetown,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Port Blandford,Port Blandford,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Traytown,Traytown,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Sandy Cove,Sandy Cove,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Terra Nova,Terra Nova,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Happy Adventure,Happy Adventure,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Eastport,Eastport,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Sandringham,Sandringham,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Glovertown,Glovertown,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Salvage,Salvage,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Gambo,Gambo,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
St. Brendan's,St. Brendan's,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Hare Bay,Hare Bay,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Centreville-Wareham-Trinity,Centreville-Wareham-Trinity,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Greenspond,Greenspond,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Dover,Dover,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
New-Wes-Valley,New-Wes-Valley,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Indian Bay,Indian Bay,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Lumsden,Lumsden,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Musgrave Harbour,Musgrave Harbour,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Carmanville,Carmanville,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Change Islands,Change Islands,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Crow Head,Crow Head,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Cottlesville,Cottlesville,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Summerford,Summerford,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Twillingate,Twillingate,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Campbellton,Campbellton,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Birchy Bay,Birchy Bay,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Comfort Cove-Newstead,Comfort Cove-Newstead,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Baytona,Baytona,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Embree,Embree,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Lewisporte,Lewisporte,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Little Burnt Bay,Little Burnt Bay,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Point of Bay,Point of Bay,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Leading Tickles,Leading Tickles,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Point Leamington,Point Leamington,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Pilley's Island,Pilley's Island,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Triton,Triton,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Brighton,Brighton,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Lushes Bight-Beaumont-Beaumont North,Lushes Bight-Beaumont-Beaumont North,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
South Brook,South Brook,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Robert's Arm,Robert's Arm,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Springdale,Springdale,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Port Anson,Port Anson,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Little Bay,Little Bay,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Little Bay Islands,Little Bay Islands,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
Beachside,Beachside,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
King's Point,King's Point,Town,Town,Newfoundland and Labrador,Terre-Neuve-et-Labrador
